Shipment_ID,Shipper,Origin_Hub,Destination_Hub,Dispatch_Date,Expected_Delivery,Actual_Delivery,Cargo_Category,Shipment_Status,Weight_Tons,Truck_ID,Truck_Capacity_Tons,Spare_Capacity_Tons,Current_Hub,Priority,Recovery_Mode,Detour_KM,Cost_Saved_USD,Carbon_Saved_kg,Compliance
SHP-1148,Tata Motors,Adilabad,Karimnagar,2026-09-15,2026-09-19,2026-09-19,Raw Materials,Delivered,4.5,TRK-012,16,5,Karimnagar,Medium,N/A,0,0,0,Yes
SHP-1149,Zomato,Hyderabad,Nizamabad,2026-09-16,2026-09-19,2026-09-19,Packaging,Delivered,3.0,TRK-013,18,6,Nizamabad,High,N/A,0,0,0,Yes
SHP-1150,Swiggy,Warangal,Hyderabad,2026-09-17,2026-09-19,,Electronics,Misplaced,2.5,,0,0,Warangal,Critical,Relay,10,600,200,Yes
SHP-1151,Blinkit,Khammam,Nalgonda,2026-09-15,2026-09-18,2026-09-18,Office Supplies,Delivered,4.0,TRK-015,20,10,Nalgonda,Medium,N/A,0,0,0,Yes
SHP-1152,DMart,Nizamabad,Adilabad,2026-09-16,2026-09-20,,Raw Materials,In Transit,6.0,TRK-016,14,6,Adilabad,High,N/A,0,0,0,Yes
SHP-1153,Flipkart,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,MRO,Delivered,3.5,TRK-017,12,4,Warangal,Medium,N/A,0,0,0,Yes
SHP-1154,Amazon,Karimnagar,Hyderabad,2026-09-15,2026-09-17,2026-09-17,Packaging,Delivered,2.0,TRK-018,18,7,Hyderabad,Low,N/A,0,0,0,Yes
SHP-1155,Reliance,Hyderabad,Mahbubnagar,2026-09-16,2026-09-18,2026-09-18,Electronics,Delivered,4.5,TRK-019,18,6,Mahbubnagar,High,N/A,0,0,0,Yes
SHP-1156,Tata Motors,Adilabad,Warangal,2026-09-17,2026-09-21,,Office Supplies,In Transit,5.5,TRK-020,14,4,Warangal,Medium,N/A,0,0,0,Yes
SHP-1157,Zomato,Nalgonda,Khammam,2026-09-15,2026-09-18,2026-09-18,Raw Materials,Delivered,6.0,TRK-021,20,8,Khammam,High,N/A,0,0,0,Yes
SHP-1158,Swiggy,Hyderabad,Karimnagar,2026-09-16,2026-09-19,,MRO,Misplaced,3.0,,0,0,Nalgonda,Critical,Direct Piggyback,11,620,210,Yes
SHP-1159,Blinkit,Warangal,Nizamabad,2026-09-17,2026-09-20,,Packaging,In Transit,4.5,TRK-023,16,5,Nizamabad,High,N/A,0,0,0,Yes
SHP-1160,DMart,Mahbubnagar,Hyderabad,2026-09-15,2026-09-17,2026-09-17,Electronics,Delivered,3.5,TRK-024,18,6,Hyderabad,Medium,N/A,0,0,0,Yes
SHP-1161,Flipkart,Khammam,Adilabad,2026-09-16,2026-09-20,,Office Supplies,In Transit,5.0,TRK-025,20,7,Adilabad,High,N/A,0,0,0,Yes
SHP-1162,Amazon,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Raw Materials,Delivered,4.0,TRK-026,14,4,Warangal,Medium,N/A,0,0,0,Yes
SHP-1163,Reliance,Nizamabad,Nalgonda,2026-09-15,2026-09-18,2026-09-18,MRO,Delivered,3.0,TRK-027,12,2,Nalgonda,Low,N/A,0,0,0,Yes
SHP-1164,Tata Motors,Karimnagar,Warangal,2026-09-16,2026-09-19,,Packaging,In Transit,5.5,TRK-028,18,6,Warangal,Medium,N/A,0,0,0,Yes
SHP-1165,Zomato,Hyderabad,Adilabad,2026-09-17,2026-09-21,,Electronics,In Transit,6.5,TRK-029,16,4,Adilabad,High,N/A,0,0,0,Yes
SHP-1166,Swiggy,Warangal,Hyderabad,2026-09-15,2026-09-17,2026-09-17,Office Supplies,Delivered,2.5,TRK-030,14,5,Hyderabad,Critical,N/A,0,0,0,Yes
SHP-1167,Blinkit,Adilabad,Khammam,2026-09-16,2026-09-20,,Raw Materials,In Transit,4.5,TRK-031,16,6,Khammam,Medium,N/A,0,0,0,Yes
SHP-1168,DMart,Hyderabad,Karimnagar,2026-09-17,2026-09-20,,MRO,Misplaced,3.5,,0,0,Hyderabad,High,Relay,13,680,235,Yes
SHP-1169,Flipkart,Nalgonda,Warangal,2026-09-15,2026-09-18,2026-09-18,Packaging,Delivered,4.0,TRK-033,18,5,Warangal,Medium,N/A,0,0,0,Yes
SHP-1170,Amazon,Mahbubnagar,Adilabad,2026-09-16,2026-09-20,,Electronics,In Transit,5.0,TRK-034,20,9,Adilabad,High,N/A,0,0,0,Yes
SHP-1171,Reliance,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Office Supplies,Delivered,3.0,TRK-035,14,4,Warangal,Medium,N/A,0,0,0,Yes
SHP-1172,Tata Motors,Khammam,Nizamabad,2026-09-15,2026-09-19,2026-09-19,Raw Materials,Delivered,6.0,TRK-036,16,5,Nizamabad,High,N/A,0,0,0,Yes
SHP-1173,Zomato,Warangal,Karimnagar,2026-09-16,2026-09-19,,MRO,In Transit,4.0,TRK-037,16,6,Karimnagar,Medium,N/A,0,0,0,Yes
SHP-1174,Swiggy,Hyderabad,Mahbubnagar,2026-09-17,2026-09-19,2026-09-19,Packaging,Delivered,2.0,TRK-038,12,3,Mahbubnagar,Low,N/A,0,0,0,Yes
SHP-1175,Blinkit,Nizamabad,Adilabad,2026-09-15,2026-09-19,2026-09-19,Electronics,Delivered,5.5,TRK-039,18,7,Adilabad,High,N/A,0,0,0,Yes
SHP-1176,DMart,Hyderabad,Khammam,2026-09-16,2026-09-18,2026-09-18,Office Supplies,Delivered,3.5,TRK-040,16,5,Khammam,Medium,N/A,0,0,0,Yes
SHP-1177,Flipkart,Karimnagar,Hyderabad,2026-09-17,2026-09-19,,Raw Materials,Misplaced,4.5,,0,0,Karimnagar,Critical,Direct Piggyback,7,490,165,Yes
SHP-1178,Amazon,Adilabad,Warangal,2026-09-15,2026-09-19,2026-09-19,MRO,Delivered,6.0,TRK-042,20,8,Warangal,High,N/A,0,0,0,Yes
SHP-1179,Reliance,Hyderabad,Nalgonda,2026-09-16,2026-09-18,2026-09-18,Packaging,Delivered,2.5,TRK-043,18,6,Nalgonda,Low,N/A,0,0,0,Yes
SHP-1180,Tata Motors,Warangal,Nizamabad,2026-09-17,2026-09-20,,Electronics,In Transit,5.0,TRK-044,16,5,Nizamabad,Medium,N/A,0,0,0,Yes
SHP-1181,Zomato,Khammam,Hyderabad,2026-09-15,2026-09-18,2026-09-18,Office Supplies,Delivered,3.0,TRK-045,16,5,Hyderabad,High,N/A,0,0,0,Yes
SHP-1182,Swiggy,Hyderabad,Warangal,2026-09-16,2026-09-18,2026-09-18,Raw Materials,Delivered,4.5,TRK-046,18,7,Warangal,Medium,N/A,0,0,0,Yes
SHP-1183,Blinkit,Mahbubnagar,Karimnagar,2026-09-17,2026-09-20,,MRO,In Transit,5.5,TRK-047,12,4,Karimnagar,High,N/A,0,0,0,Yes
SHP-1184,DMart,Nizamabad,Hyderabad,2026-09-15,2026-09-18,2026-09-18,Packaging,Delivered,2.0,TRK-048,14,5,Hyderabad,Low,N/A,0,0,0,Yes
SHP-1185,Flipkart,Hyderabad,Adilabad,2026-09-16,2026-09-20,,Electronics,In Transit,6.5,TRK-049,16,6,Adilabad,High,N/A,0,0,0,Yes
SHP-1186,Amazon,Karimnagar,Khammam,2026-09-17,2026-09-20,,Office Supplies,Misplaced,3.5,,0,0,Karimnagar,High,Relay,11,620,210,Yes
SHP-1187,Reliance,Warangal,Hyderabad,2026-09-15,2026-09-17,2026-09-17,Raw Materials,Delivered,4.0,TRK-002,16,6,Hyderabad,Medium,N/A,0,0,0,Yes
SHP-1188,Tata Motors,Adilabad,Nalgonda,2026-09-16,2026-09-20,,MRO,In Transit,5.0,TRK-004,14,8,Nalgonda,High,N/A,0,0,0,Yes
SHP-1189,Zomato,Hyderabad,Warangal,2026-09-17,2026-09-19,2026-09-19,Packaging,Delivered,3.0,TRK-006,18,4,Warangal,Medium,N/A,0,0,0,Yes
SHP-1190,Swiggy,Nalgonda,Nizamabad,2026-09-15,2026-09-19,2026-09-19,Electronics,Delivered,4.5,TRK-008,12,2,Nizamabad,Critical,N/A,0,0,0,Yes
SHP-1191,Blinkit,Khammam,Adilabad,2026-09-16,2026-09-20,,Office Supplies,In Transit,5.5,TRK-009,20,8,Adilabad,High,N/A,0,0,0,Yes
SHP-1192,DMart,Hyderabad,Karimnagar,2026-09-17,2026-09-20,,Raw Materials,In Transit,6.0,TRK-011,12,4,Karimnagar,Medium,N/A,0,0,0,Yes
SHP-1193,Flipkart,Mahbubnagar,Warangal,2026-09-15,2026-09-18,2026-09-18,MRO,Delivered,3.5,TRK-012,16,5,Warangal,High,N/A,0,0,0,Yes
SHP-1194,Amazon,Nizamabad,Hyderabad,2026-09-16,2026-09-18,2026-09-18,Packaging,Delivered,2.5,TRK-013,18,6,Hyderabad,Medium,N/A,0,0,0,Yes
SHP-1195,Reliance,Warangal,Khammam,2026-09-17,2026-09-19,,Electronics,Misplaced,4.0,,0,0,Warangal,Critical,Direct Piggyback,9,560,185,Yes
SHP-1196,Tata Motors,Hyderabad,Adilabad,2026-09-15,2026-09-19,2026-09-19,Office Supplies,Delivered,5.0,TRK-015,20,10,Adilabad,High,N/A,0,0,0,Yes
SHP-1197,Zomato,Karimnagar,Nalgonda,2026-09-16,2026-09-19,,Raw Materials,In Transit,3.0,TRK-016,14,6,Nalgonda,Medium,N/A,0,0,0,Yes
SHP-1198,Swiggy,Adilabad,Hyderabad,2026-09-17,2026-09-20,,MRO,In Transit,4.5,TRK-017,12,4,Hyderabad,High,N/A,0,0,0,Yes
SHP-1199,Blinkit,Hyderabad,Warangal,2026-09-15,2026-09-17,2026-09-17,Packaging,Delivered,2.0,TRK-018,18,7,Warangal,Low,N/A,0,0,0,Yes
SHP-1200,DMart,Khammam,Nizamabad,2026-09-16,2026-09-19,2026-09-19,Electronics,Delivered,5.5,TRK-019,18,6,Nizamabad,High,N/A,0,0,0,Yes
